KG id,License machine redeable (metadata),License machine redeable (query)
country-authority-list,http://www.opendefinition.org/licenses/cc-zero,http://www.opendatacommons.org/licenses/pddl/1.0/
Covid-on-the-Web,http://www.opendefinition.org/licenses/odc-by,cc-by
CPC,http://www.opendefinition.org/licenses/cc-by,-
culturalinkeddata,Not indicated,-
cz-list-of-databoxes,Not indicated,http://creativecommons.org/licenses/by-nc-nd/3.0/
cz-nace,Not indicated,http://creativecommons.org/licenses/by-nc-nd/3.0/
cz-nkod,Not indicated,https://data.gov.cz/zdroj/datové-sady/00023221/1042474980/distribuce/b04d14a3f173750f5614e9e987010419/podmínky-užití
cz-ovm,Not indicated,http://creativecommons.org/licenses/by-nc-nd/3.0/
cz-ruian,Not indicated,https://portal.gov.cz/portal/ostatni/volny-pristup-k-ds.html
cz-souhrnne-typy-ovm,Not indicated,http://creativecommons.org/licenses/by-nc-nd/3.0/
data-bnf-fr,Not indicated,-
data-persee-fr,http://www.opendefinition.org/licenses/cc-by-sa,http://creativecommons.org/licenses/by-nc-sa/3.0/fr/
datos-bcn-cl,https://creativecommons.org/licenses/by/3.0/,-
datos-bne-es,http://www.opendefinition.org/licenses/cc-zero,-
dbkwik,Not indicated,-
dbnary,http://www.opendefinition.org/licenses/cc-by-sa,https://creativecommons.org/licenses/by/3.0/
dbpedia,http://www.opendefinition.org/licenses/cc-by-sa,http://creativecommons.org/licenses/by-sa/3.0/
dbpedia-es,http://www.opendefinition.org/licenses/cc-by-sa,http://creativecommons.org/licenses/by/3.0/
dbpedia-fr,http://www.opendefinition.org/licenses/cc-by-sa,http://creativecommons.org/licenses/by-sa/3.0/
dbpedia-ja,http://www.opendefinition.org/licenses/cc-by-sa,"http://ja.wikipedia.org/wiki/ファイル:Anthony_van_Dyck_-_Self-Portrait_-_WGA07407.jpg"
dbtune-musicbrainz,Not indicated,-
drug-data-hifm,http://www.opendefinition.org/licenses/odc-by,Copyright 2014; Milos Jovanovik
ei2a,http://www.opendefinition.org/licenses/cc-by,https://creativecommons.org/licenses/by-nc/4.0/
english-heritage-archaeological-sciences-thesaurus,http://www.opendefinition.org/licenses/cc-by,-
english-heritage-building-materials-thesaurus,http://www.opendefinition.org/licenses/cc-by,-
english-heritage-components-thesaurus,http://www.opendefinition.org/licenses/cc-by,-
english-heritage-event-types-thesaurus,http://www.opendefinition.org/licenses/cc-by,-
english-heritage-maritime-craft-thesaurus,http://www.opendefinition.org/licenses/cc-by,-
english-heritage-monument-types-thesaurus,http://www.opendefinition.org/licenses/cc-by,-
english-heritage-periods-list,http://www.opendefinition.org/licenses/cc-by,-
english-index-of-multiple-deprivation-ranking-2010,http://reference.data.gov.uk/id/open-government-licence,http://www.nationalarchives.gov.uk/doc/open-government-licence/
english-index-of-multiple-deprivation-score-2010,http://reference.data.gov.uk/id/open-government-licence,http://www.nationalarchives.gov.uk/doc/open-government-licence/
english-indices-of-multiple-deprivation,http://reference.data.gov.uk/id/open-government-licence,http://www.nationalarchives.gov.uk/doc/open-government-licence/
environment-agency-bathing-water-quality,http://reference.data.gov.uk/id/open-government-licence,http://reference.data.gov.uk/id/open-government-licence
eurovoc,http://www.opendefinition.org/licenses/cc-zero,http://www.opendatacommons.org/licenses/pddl/1.0/
framester,http://www.opendefinition.org/licenses/cc-by-sa,https://creativecommons.org/licenses/by/3.0/
geolinkeddata,http://www.opendefinition.org/licenses/cc-by,-
geological-survey-of-austria-thesaurus,http://www.opendefinition.org/licenses/cc-by-sa,https://creativecommons.org/licenses/by-sa/4.0/
GTS,http://www.opendefinition.org/licenses/cc-zero,https://creativecommons.org/licenses/by/4.0/
imagesnippets,Not indicated,-
ispra-lod-place,http://www.opendefinition.org/licenses/cc-by,https://w3id.org/italia/env/ld/catalog/license/ccby40
ispra-lod-ron,http://www.opendefinition.org/licenses/cc-by,https://w3id.org/italia/env/ld/catalog/license/ccby40
ispra-lod-sc,http://www.opendefinition.org/licenses/cc-by,https://w3id.org/italia/env/ld/catalog/license/ccby40
language-authority-list,http://www.opendefinition.org/licenses/cc-zero,http://www.opendatacommons.org/licenses/pddl/1.0/
libris,http://www.opendefinition.org/licenses/cc-zero,-
linked-drugs,http://www.opendefinition.org/licenses/cc-by,Copyright 2014; Milos Jovanovik
linked-logainm,http://www.opendefinition.org/licenses/odc-odbl,-
linkedgeodata,http://www.opendefinition.org/licenses/cc-by,-
lower-layer-super-output-areas,http://reference.data.gov.uk/id/open-government-licence,http://www.nationalarchives.gov.uk/doc/open-government-licence/
muninn-world-war-i,http://www.opendefinition.org/licenses/cc-by,http://creativecommons.org/licenses/by/3.0/
muziekweb,http://www.opendefinition.org/licenses/odc-by,-
national-diet-library-authorities,Not indicated,-
national-diet-library-subject-headings,Not indicated,-
nextprot,http://www.opendefinition.org/licenses/cc-by,http://creativecommons.org/licenses/by/4.0
NoiPA,https://creativecommons.org/licenses/by-sa/3.0/,http://w3id.org/italia/controlled-vocabulary/licences/A21_CCBY40
nomisma_org,https://creativecommons.org/licenses/by/3.0/,http://creativecommons.org/licenses/by-nc-sa/3.0/
ocd,http://www.opendefinition.org/licenses/cc-by,https://creativecommons.org/licenses/by/3.0/deed.it
odc-lsoa,http://reference.data.gov.uk/id/open-government-licence,http://www.nationalarchives.gov.uk/doc/open-government-licence/
open-bantu-isixhosa-lexicon,http://www.opendefinition.org/licenses/cc-by-sa,https://creativecommons.org/licenses/by-nc/4.0/
open-data-thesaurus,http://www.opendefinition.org/licenses/cc-by-sa,http://creativecommons.org/licenses/by-sa/3.0/at/
open-energy-info-wiki,http://www.opendefinition.org/licenses/cc-zero,-
OTM,http://www.opendefinition.org/licenses/cc-zero,http://publications.europa.eu/resource/authority/licence/APACHE_2_0
PGxLOD,http://www.opendefinition.org/licenses/cc-by,https://www.ebi.ac.uk/about/terms-of-use
premon,http://www.opendefinition.org/licenses/cc-by-sa,-
reload,http://www.opendefinition.org/licenses/cc-by,http://prov.vic.gov.au/copyright
rism,http://www.opendefinition.org/licenses/cc-by,-
rism-authorities,http://www.opendefinition.org/licenses/cc-by,-
sandre,https://creativecommons.org/licenses/by-nc-sa/2.0/fr/,-
shoah-victims-names,http://www.opendefinition.org/licenses/cc-by,http://prov.vic.gov.au/copyright
slod,https://creativecommons.org/licenses/by/3.0/,http://creativecommons.org/publicdomain/zero/1.0/
snik,http://creativecommons.org/licenses/by-nc/2.0/,https://creativecommons.org/licenses/by-nc-sa/4.0/
socialsemweb-thesaurus,http://www.opendefinition.org/licenses/cc-by-sa,http://creativecommons.org/licenses/by-sa/3.0/
ssf,https://creativecommons.org/licenses/by/3.0/,-
statistics-data-gov-uk,Not indicated,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Swift,http://www.opendefinition.org/licenses/cc-by-sa,https://creativecommons.org/licenses/by-sa/4.0/
sztaki-lod,http://www.opendefinition.org/licenses/cc-by-sa,http://creativecommons.org/licenses/by/3.0/
taxref-ld,https://creativecommons.org/licenses/by/3.0/,https://creativecommons.org/licenses/by-nc-sa/2.0/deed.en
